Treatment,Line,Log10
R,R1,7.970000005
R,R1,8.120000003
R,R1,7.920000005
R,R1,7.880000006
R,R2,7.810000007
R,R2,7.860000006
R,R2,7.690000009
R,R2,7.790000007
R,R2,8.430000002
R,R2,7.970000005
R,R2,8.170000003
R,R2,7.910000005
R,R2,8.130000003
R,R3,7.830000006
R,R3,8.060000004
R,R3,7.700000009
R,R3,7.710000008
R,R3,7.990000004
R,R3,8.210000003
R,R3,7.990000004
R,R3,8.310000002
L,L1,8.01
L,L1,7.57
L,L1,7.69
L,L1,7.23
L,L1,0
L,L1,7.86
L,L1,3.58
L,L1,6.52
L,L1,5.54
L,L1,7.27
L,L1,0.3
L,L1,0
L,L1,4.29
L,L1,7.35
L,L1,6.38
L,L1,8.27
L,L1,7.33
L,L1,8.21
L,L1,6.99
L,L1,7.73
L,L1,0
L,L1,7.1
L,L1,7.69
L,L1,0
L,L1,4.69
L,L1,6.45
L,L1,7.64
L,L1,0
L,L1,6.8
L,L1,8.17
L,L1,7.08
L,L1,7.58
L,L1,6.94
L,L1,4.47
L,L1,7.91
L,L1,0
L,L1,8.91
L,L1,8.42
L,L1,6.77
L,L1,7.59
L,L1,8.08
L,L1,7.08
L,L1,7.63
L,L1,8.22
L,L1,7.66
L,L1,8.43
L,L1,8.96
L,L1,0
L,L1,8.92
L,L1,0
L,L1,6.45
L,L1,0
L,L1,8.26
L,L1,8.54
L,L1,8.47
L,L1,7.14
L,L1,6.92
L,L2,7.73
L,L2,7.27
L,L2,8.21
L,L2,7.4
L,L2,7.23
L,L2,7.09
L,L2,8.21
L,L2,7.89
L,L2,6.14
L,L2,5.65
L,L2,7.34
L,L2,7.68
L,L2,7.8
L,L2,7.96
L,L2,7.05
L,L2,7.31
L,L2,7.83
L,L2,6.91
L,L2,6.78
L,L2,7.88
L,L2,6.78
L,L2,6.87
L,L2,7.11
L,L2,7.59
L,L2,8.08
L,L2,8.12
L,L2,8.03
L,L3,7.32
L,L3,7.22
L,L3,7.47
L,L3,8.15
L,L3,7.96
L,L3,5.61
L,L3,7.27
L,L3,7.4
L,L3,3.42
L,L3,7.16
L,L3,7.88
L,L3,7.81
L,L3,8.49
L,L3,7.57
L,L3,8.28
L,L3,7.35
L,L3,7.72
L,L3,6.33
L,L3,7.81
L,L3,7.4
L,L3,3.66
L,L3,7.6
L,L3,7.86
L,L3,7.53
L,L3,8.31
R,R,7.970000005
R,R,8.120000003
R,R,7.920000005
R,R,7.880000006
R,R,7.810000007
R,R,7.860000006
R,R,7.690000009
R,R,7.790000007
R,R,8.430000002
R,R,7.970000005
R,R,8.170000003
R,R,7.910000005
R,R,8.130000003
R,R,7.830000006
R,R,8.060000004
R,R,7.700000009
R,R,7.710000008
R,R,7.990000004
R,R,8.210000003
R,R,7.990000004
R,R,8.310000002
